"datahora","objeto","valor"
"20260301050000","MOSFTE3",0.21
"20260301050100","MOSFTE3",0.28
"20260301050200","MOSFTE3",0.29
"20260301050300","MOSFTE3",0.24
"20260301050400","MOSFTE3",0.79
"20260301050500","MOSFTE3",0.00
"20260301050600","MOSFTE3",0.02
"20260301050700","MOSFTE3",0.34
"20260301050800","MOSFTE3",0.18
"20260301050900","MOSFTE3",0.00
"20260301051000","MOSFTE3",0.11
"20260301051100","MOSFTE3",0.00
"20260301051200","MOSFTE3",0.25
"20260301051300","MOSFTE3",0.00
"20260301051400","MOSFTE3",0.30
"20260301051500","MOSFTE3",0.33
"20260301051600","MOSFTE3",0.08
"20260301051700","MOSFTE3",0.54
"20260301051800","MOSFTE3",0.53
"20260301051900","MOSFTE3",0.32
"20260301052000","MOSFTE3",0.12
"20260301052100","MOSFTE3",0.16
"20260301052200","MOSFTE3",0.49
"20260301052300","MOSFTE3",0.00
"20260301052400","MOSFTE3",0.13
"20260301052500","MOSFTE3",0.27
"20260301052600","MOSFTE3",0.18
"20260301052700","MOSFTE3",0.32
"20260301052800","MOSFTE3",0.00
"20260301052900","MOSFTE3",0.11
"20260301053000","MOSFTE3",0.00
"20260301053100","MOSFTE3",0.07
"20260301053200","MOSFTE3",0.21
"20260301053300","MOSFTE3",0.23
"20260301053400","MOSFTE3",0.56
"20260301053500","MOSFTE3",0.71
"20260301053600","MOSFTE3",0.24
"20260301053700","MOSFTE3",0.42
"20260301053800","MOSFTE3",0.53
"20260301053900","MOSFTE3",0.13
"20260301054000","MOSFTE3",0.55
"20260301054100","MOSFTE3",0.58
"20260301054200","MOSFTE3",0.13
"20260301054300","MOSFTE3",0.32
"20260301054400","MOSFTE3",0.46
"20260301054500","MOSFTE3",0.55
"20260301054600","MOSFTE3",0.57
"20260301054700","MOSFTE3",0.74
"20260301054800","MOSFTE3",0.28
"20260301054900","MOSFTE3",0.50
"20260301055000","MOSFTE3",0.75
"20260301055100","MOSFTE3",0.18
"20260301055200","MOSFTE3",0.89
"20260301055300","MOSFTE3",0.66
"20260301055400","MOSFTE3",0.54
"20260301055500","MOSFTE3",0.68
"20260301055600","MOSFTE3",0.32
"20260301055700","MOSFTE3",0.41
"20260301055800","MOSFTE3",0.60
"20260301055900","MOSFTE3",0.18
"20260301060000","MOSFTE3",0.44
"20260301060100","MOSFTE3",0.20
"20260301060200","MOSFTE3",0.31
"20260301060300","MOSFTE3",0.74
"20260301060400","MOSFTE3",0.78
"20260301060500","MOSFTE3",0.27
"20260301060600","MOSFTE3",0.16
"20260301060700","MOSFTE3",0.17
"20260301060800","MOSFTE3",0.60
"20260301060900","MOSFTE3",0.53
"20260301061000","MOSFTE3",0.98
"20260301061100","MOSFTE3",0.82
"20260301061200","MOSFTE3",0.25
"20260301061300","MOSFTE3",0.77
"20260301061400","MOSFTE3",0.54
"20260301061500","MOSFTE3",0.30
"20260301061600","MOSFTE3",0.67
"20260301061700","MOSFTE3",0.60
"20260301061800","MOSFTE3",0.39
"20260301061900","MOSFTE3",0.81
"20260301062000","MOSFTE3",0.39
"20260301062100","MOSFTE3",0.48
"20260301062200","MOSFTE3",0.44
"20260301062300","MOSFTE3",0.76
"20260301062400","MOSFTE3",1.02
"20260301062500","MOSFTE3",0.55
"20260301062600","MOSFTE3",0.62
"20260301062700","MOSFTE3",0.67
"20260301062800","MOSFTE3",0.67
"20260301062900","MOSFTE3",1.08
"20260301063000","MOSFTE3",0.60
"20260301063100","MOSFTE3",0.47
"20260301063200","MOSFTE3",1.07
"20260301063300","MOSFTE3",0.70
"20260301063400","MOSFTE3",0.56
"20260301063500","MOSFTE3",0.65
"20260301063600","MOSFTE3",0.65
"20260301063700","MOSFTE3",0.89
"20260301063800","MOSFTE3",1.10
"20260301063900","MOSFTE3",0.50
"20260301064000","MOSFTE3",0.97
"20260301064100","MOSFTE3",0.60
