"datahora","objeto","valor"
"20260301050000","MOSFTE5",0.76
"20260301050100","MOSFTE5",0.34
"20260301050200","MOSFTE5",0.15
"20260301050300","MOSFTE5",0.10
"20260301050400","MOSFTE5",0.11
"20260301050500","MOSFTE5",0.00
"20260301050600","MOSFTE5",0.26
"20260301050700","MOSFTE5",0.38
"20260301050800","MOSFTE5",0.26
"20260301050900","MOSFTE5",0.35
"20260301051000","MOSFTE5",0.22
"20260301051100","MOSFTE5",0.67
"20260301051200","MOSFTE5",0.07
"20260301051300","MOSFTE5",0.52
"20260301051400","MOSFTE5",0.20
"20260301051500","MOSFTE5",0.28
"20260301051600","MOSFTE5",0.06
"20260301051700","MOSFTE5",0.00
"20260301051800","MOSFTE5",0.35
"20260301051900","MOSFTE5",0.51
"20260301052000","MOSFTE5",0.00
"20260301052100","MOSFTE5",0.15
"20260301052200","MOSFTE5",0.37
"20260301052300","MOSFTE5",0.36
"20260301052400","MOSFTE5",0.18
"20260301052500","MOSFTE5",0.44
"20260301052600","MOSFTE5",0.00
"20260301052700","MOSFTE5",0.18
"20260301052800","MOSFTE5",0.68
"20260301052900","MOSFTE5",0.27
"20260301053000","MOSFTE5",0.37
"20260301053100","MOSFTE5",0.21
"20260301053200","MOSFTE5",0.69
"20260301053300","MOSFTE5",0.82
"20260301053400","MOSFTE5",0.24
"20260301053500","MOSFTE5",0.45
"20260301053600","MOSFTE5",0.15
"20260301053700","MOSFTE5",0.17
"20260301053800","MOSFTE5",0.27
"20260301053900","MOSFTE5",0.49
"20260301054000","MOSFTE5",0.07
"20260301054100","MOSFTE5",0.25
"20260301054200","MOSFTE5",0.51
"20260301054300","MOSFTE5",0.58
"20260301054400","MOSFTE5",0.17
"20260301054500","MOSFTE5",0.12
"20260301054600","MOSFTE5",0.39
"20260301054700","MOSFTE5",0.41
"20260301054800","MOSFTE5",0.85
"20260301054900","MOSFTE5",0.22
"20260301055000","MOSFTE5",0.28
"20260301055100","MOSFTE5",0.25
"20260301055200","MOSFTE5",0.49
"20260301055300","MOSFTE5",0.05
"20260301055400","MOSFTE5",0.10
"20260301055500","MOSFTE5",0.60
"20260301055600","MOSFTE5",0.36
"20260301055700","MOSFTE5",0.39
"20260301055800","MOSFTE5",0.90
"20260301055900","MOSFTE5",0.38
"20260301060000","MOSFTE5",0.40
"20260301060100","MOSFTE5",0.66
"20260301060200","MOSFTE5",0.40
"20260301060300","MOSFTE5",0.60
"20260301060400","MOSFTE5",0.47
"20260301060500","MOSFTE5",0.62
"20260301060600","MOSFTE5",0.60
"20260301060700","MOSFTE5",0.34
"20260301060800","MOSFTE5",0.77
"20260301060900","MOSFTE5",0.69
"20260301061000","MOSFTE5",0.82
"20260301061100","MOSFTE5",0.77
"20260301061200","MOSFTE5",0.63
"20260301061300","MOSFTE5",0.35
"20260301061400","MOSFTE5",0.53
"20260301061500","MOSFTE5",0.60
"20260301061600","MOSFTE5",0.67
"20260301061700","MOSFTE5",0.41
"20260301061800","MOSFTE5",0.56
"20260301061900","MOSFTE5",0.40
"20260301062000","MOSFTE5",0.53
"20260301062100","MOSFTE5",0.86
"20260301062200","MOSFTE5",0.65
"20260301062300","MOSFTE5",0.62
"20260301062400","MOSFTE5",0.34
"20260301062500","MOSFTE5",0.24
"20260301062600","MOSFTE5",0.52
"20260301062700","MOSFTE5",0.63
"20260301062800","MOSFTE5",0.60
"20260301062900","MOSFTE5",0.96
"20260301063000","MOSFTE5",0.64
"20260301063100","MOSFTE5",0.40
"20260301063200","MOSFTE5",0.55
"20260301063300","MOSFTE5",0.40
"20260301063400","MOSFTE5",0.54
"20260301063500","MOSFTE5",1.03
"20260301063600","MOSFTE5",0.69
"20260301063700","MOSFTE5",0.69
"20260301063800","MOSFTE5",0.49
"20260301063900","MOSFTE5",0.39
"20260301064000","MOSFTE5",0.66
"20260301064100","MOSFTE5",0.62
"20260301064200","MOSFTE5",0.54
"20260301064300","MOSFTE5",0.73
"20260301064400","MOSFTE5",0.91
"20260301064500","MOSFTE5",0.85
"20260301064600","MOSFTE5",0.94
"20260301064700","MOSFTE5",0.42
"20260301064800","MOSFTE5",0.76
"20260301064900","MOSFTE5",0.93
"20260301065000","MOSFTE5",1.05
"20260301065100","MOSFTE5",1.05
"20260301065200","MOSFTE5",0.78
"20260301065300","MOSFTE5",0.92
"20260301065400","MOSFTE5",0.80
"20260301065500","MOSFTE5",0.61
"20260301065600","MOSFTE5",0.72
"20260301065700","MOSFTE5",0.87
"20260301065800","MOSFTE5",1.27
"20260301065900","MOSFTE5",0.93
"20260301070000","MOSFTE5",0.69
"20260301070100","MOSFTE5",1.12
"20260301070200","MOSFTE5",0.85
"20260301070300","MOSFTE5",0.97
"20260301070400","MOSFTE5",0.53
"20260301070500","MOSFTE5",0.67
"20260301070600","MOSFTE5",0.82
"20260301070700","MOSFTE5",0.92
"20260301070800","MOSFTE5",0.34
"20260301070900","MOSFTE5",1.24
"20260301071000","MOSFTE5",1.00
"20260301071100","MOSFTE5",1.12
"20260301071200","MOSFTE5",0.75
"20260301071300","MOSFTE5",0.78
"20260301071400","MOSFTE5",1.11
"20260301071500","MOSFTE5",1.27
"20260301071600","MOSFTE5",1.40
"20260301071700","MOSFTE5",1.13
"20260301071800","MOSFTE5",1.35
"20260301071900","MOSFTE5",0.86
"20260301072000","MOSFTE5",1.16
"20260301072100","MOSFTE5",1.05
"20260301072200","MOSFTE5",1.49
"20260301072300","MOSFTE5",1.40
"20260301072400","MOSFTE5",1.18
"20260301072500","MOSFTE5",1.54
"20260301072600","MOSFTE5",1.79
"20260301072700","MOSFTE5",1.38
"20260301072800","MOSFTE5",1.49
"20260301072900","MOSFTE5",1.52
"20260301073000","MOSFTE5",1.04
"20260301073100","MOSFTE5",1.53
"20260301073200","MOSFTE5",1.72
"20260301073300","MOSFTE5",1.01
"20260301073400","MOSFTE5",1.09
"20260301073500","MOSFTE5",1.19
"20260301073600","MOSFTE5",1.48
"20260301073700","MOSFTE5",1.29
"20260301073800","MOSFTE5",1.25
"20260301073900","MOSFTE5",1.99
"20260301074000","MOSFTE5",1.43
"20260301074100","MOSFTE5",1.51
"20260301074200","MOSFTE5",1.78
"20260301074300","MOSFTE5",1.52
"20260301074400","MOSFTE5",1.29
"20260301074500","MOSFTE5",1.88
"20260301074600","MOSFTE5",1.64
"20260301074700","MOSFTE5",1.70
"20260301074800","MOSFTE5",1.53
"20260301074900","MOSFTE5",1.40
"20260301075000","MOSFTE5",1.46
"20260301075100","MOSFTE5",1.32
"20260301075200","MOSFTE5",1.48
"20260301075300","MOSFTE5",1.93
"20260301075400","MOSFTE5",1.91
"20260301075500","MOSFTE5",1.53
"20260301075600","MOSFTE5",2.06
"20260301075700","MOSFTE5",1.84
"20260301075800","MOSFTE5",1.88
"20260301075900","MOSFTE5",1.75
"20260301080000","MOSFTE5",1.49
"20260301080100","MOSFTE5",2.02
"20260301080200","MOSFTE5",2.17
"20260301080300","MOSFTE5",1.91
"20260301080400","MOSFTE5",2.15
"20260301080500","MOSFTE5",1.94
"20260301080600","MOSFTE5",2.06
"20260301080700","MOSFTE5",1.65
"20260301080800","MOSFTE5",2.24
"20260301080900","MOSFTE5",1.72
"20260301081000","MOSFTE5",1.95
"20260301081100","MOSFTE5",1.89
"20260301081200","MOSFTE5",1.51
"20260301081300","MOSFTE5",1.87
"20260301081400","MOSFTE5",2.30
"20260301081500","MOSFTE5",2.09
"20260301081600","MOSFTE5",1.87
"20260301081700","MOSFTE5",1.76
"20260301081800","MOSFTE5",2.66
"20260301081900","MOSFTE5",2.41
"20260301082000","MOSFTE5",2.26
"20260301082100","MOSFTE5",2.14
"20260301082200","MOSFTE5",2.37
"20260301082300","MOSFTE5",2.72
"20260301082400","MOSFTE5",2.34
"20260301082500","MOSFTE5",2.14
"20260301082600","MOSFTE5",2.37
"20260301082700","MOSFTE5",2.05
"20260301082800","MOSFTE5",2.44
"20260301082900","MOSFTE5",2.65
"20260301083000","MOSFTE5",2.44
