"datahora","objeto","valor"
"20260301050000","MOSFTE10",0.06
"20260301050100","MOSFTE10",0.00
"20260301050200","MOSFTE10",0.00
"20260301050300","MOSFTE10",0.00
"20260301050400","MOSFTE10",0.00
"20260301050500","MOSFTE10",0.22
"20260301050600","MOSFTE10",0.06
"20260301050700","MOSFTE10",0.05
"20260301050800","MOSFTE10",0.10
"20260301050900","MOSFTE10",0.32
"20260301051000","MOSFTE10",0.00
"20260301051100","MOSFTE10",0.55
"20260301051200","MOSFTE10",0.41
"20260301051300","MOSFTE10",0.40
"20260301051400","MOSFTE10",0.00
"20260301051500","MOSFTE10",0.57
"20260301051600","MOSFTE10",0.29
"20260301051700","MOSFTE10",0.27
"20260301051800","MOSFTE10",0.22
"20260301051900","MOSFTE10",0.42
"20260301052000","MOSFTE10",0.12
"20260301052100","MOSFTE10",0.00
"20260301052200","MOSFTE10",0.62
"20260301052300","MOSFTE10",0.30
"20260301052400","MOSFTE10",0.16
"20260301052500","MOSFTE10",0.05
"20260301052600","MOSFTE10",0.08
"20260301052700","MOSFTE10",0.19
"20260301052800","MOSFTE10",0.22
"20260301052900","MOSFTE10",0.28
"20260301053000","MOSFTE10",0.38
"20260301053100","MOSFTE10",0.73
"20260301053200","MOSFTE10",0.23
"20260301053300","MOSFTE10",0.56
"20260301053400","MOSFTE10",0.37
"20260301053500","MOSFTE10",0.29
"20260301053600","MOSFTE10",0.26
"20260301053700","MOSFTE10",0.32
"20260301053800","MOSFTE10",0.61
"20260301053900","MOSFTE10",0.52
"20260301054000","MOSFTE10",0.43
"20260301054100","MOSFTE10",0.47
"20260301054200","MOSFTE10",0.34
"20260301054300","MOSFTE10",0.37
"20260301054400","MOSFTE10",0.25
"20260301054500","MOSFTE10",0.13
"20260301054600","MOSFTE10",0.00
"20260301054700","MOSFTE10",0.31
"20260301054800","MOSFTE10",0.54
"20260301054900","MOSFTE10",0.25
"20260301055000","MOSFTE10",0.03
"20260301055100","MOSFTE10",0.37
"20260301055200","MOSFTE10",0.48
"20260301055300","MOSFTE10",0.12
"20260301055400","MOSFTE10",0.62
"20260301055500","MOSFTE10",0.36
"20260301055600","MOSFTE10",0.80
"20260301055700","MOSFTE10",0.64
"20260301055800","MOSFTE10",0.16
"20260301055900","MOSFTE10",0.68
"20260301060000","MOSFTE10",0.00
"20260301060100","MOSFTE10",0.37
"20260301060200","MOSFTE10",0.66
"20260301060300","MOSFTE10",0.80
"20260301060400","MOSFTE10",0.71
"20260301060500","MOSFTE10",0.22
"20260301060600","MOSFTE10",0.39
"20260301060700","MOSFTE10",0.85
"20260301060800","MOSFTE10",0.53
"20260301060900","MOSFTE10",0.74
"20260301061000","MOSFTE10",0.00
"20260301061100","MOSFTE10",0.66
"20260301061200","MOSFTE10",0.51
"20260301061300","MOSFTE10",0.55
