"datahora","objeto","valor"
"20260301050000","MOSFTE13",0.32
"20260301050100","MOSFTE13",0.00
"20260301050200","MOSFTE13",0.00
"20260301050300","MOSFTE13",0.00
"20260301050400","MOSFTE13",0.28
"20260301050500","MOSFTE13",0.35
"20260301050600","MOSFTE13",0.29
"20260301050700","MOSFTE13",0.00
"20260301050800","MOSFTE13",0.10
"20260301050900","MOSFTE13",0.26
"20260301051000","MOSFTE13",0.05
"20260301051100","MOSFTE13",0.34
"20260301051200","MOSFTE13",0.00
"20260301051300","MOSFTE13",0.70
"20260301051400","MOSFTE13",0.28
"20260301051500","MOSFTE13",0.00
"20260301051600","MOSFTE13",0.50
"20260301051700","MOSFTE13",0.27
"20260301051800","MOSFTE13",0.29
"20260301051900","MOSFTE13",0.27
"20260301052000","MOSFTE13",0.29
"20260301052100","MOSFTE13",0.31
"20260301052200","MOSFTE13",0.22
"20260301052300","MOSFTE13",0.28
"20260301052400","MOSFTE13",0.14
"20260301052500","MOSFTE13",0.73
"20260301052600","MOSFTE13",0.11
"20260301052700","MOSFTE13",0.00
"20260301052800","MOSFTE13",0.56
"20260301052900","MOSFTE13",0.48
"20260301053000","MOSFTE13",0.12
"20260301053100","MOSFTE13",0.50
"20260301053200","MOSFTE13",0.51
"20260301053300","MOSFTE13",0.40
"20260301053400","MOSFTE13",0.03
"20260301053500","MOSFTE13",0.02
"20260301053600","MOSFTE13",0.53
"20260301053700","MOSFTE13",0.27
"20260301053800","MOSFTE13",0.68
"20260301053900","MOSFTE13",0.26
"20260301054000","MOSFTE13",0.25
"20260301054100","MOSFTE13",0.00
"20260301054200","MOSFTE13",0.51
"20260301054300","MOSFTE13",0.27
"20260301054400","MOSFTE13",0.24
"20260301054500","MOSFTE13",0.25
"20260301054600","MOSFTE13",0.27
"20260301054700","MOSFTE13",0.53
"20260301054800","MOSFTE13",0.21
"20260301054900","MOSFTE13",0.29
"20260301055000","MOSFTE13",0.54
"20260301055100","MOSFTE13",0.00
"20260301055200","MOSFTE13",0.68
"20260301055300","MOSFTE13",0.52
"20260301055400","MOSFTE13",0.21
"20260301055500","MOSFTE13",0.80
"20260301055600","MOSFTE13",0.58
"20260301055700","MOSFTE13",0.54
"20260301055800","MOSFTE13",0.42
"20260301055900","MOSFTE13",0.63
"20260301060000","MOSFTE13",0.52
"20260301060100","MOSFTE13",0.32
"20260301060200","MOSFTE13",0.35
"20260301060300","MOSFTE13",0.31
"20260301060400","MOSFTE13",0.55
"20260301060500","MOSFTE13",0.70
"20260301060600","MOSFTE13",0.34
"20260301060700","MOSFTE13",0.56
"20260301060800","MOSFTE13",0.32
"20260301060900","MOSFTE13",0.30
"20260301061000","MOSFTE13",0.95
"20260301061100","MOSFTE13",0.76
"20260301061200","MOSFTE13",0.34
"20260301061300","MOSFTE13",0.68
"20260301061400","MOSFTE13",0.26
"20260301061500","MOSFTE13",0.28
"20260301061600","MOSFTE13",0.50
"20260301061700","MOSFTE13",0.13
"20260301061800","MOSFTE13",0.45
"20260301061900","MOSFTE13",0.28
"20260301062000","MOSFTE13",0.61
"20260301062100","MOSFTE13",0.35
"20260301062200","MOSFTE13",0.63
"20260301062300","MOSFTE13",0.70
"20260301062400","MOSFTE13",0.52
"20260301062500","MOSFTE13",0.50
"20260301062600","MOSFTE13",0.68
"20260301062700","MOSFTE13",1.08
"20260301062800","MOSFTE13",0.58
"20260301062900","MOSFTE13",0.72
"20260301063000","MOSFTE13",0.40
"20260301063100","MOSFTE13",0.83
"20260301063200","MOSFTE13",0.53
"20260301063300","MOSFTE13",0.93
"20260301063400","MOSFTE13",0.33
"20260301063500","MOSFTE13",0.50
"20260301063600","MOSFTE13",0.57
"20260301063700","MOSFTE13",0.65
"20260301063800","MOSFTE13",0.40
"20260301063900","MOSFTE13",0.45
"20260301064000","MOSFTE13",0.88
"20260301064100","MOSFTE13",0.82
"20260301064200","MOSFTE13",0.75
"20260301064300","MOSFTE13",0.71
"20260301064400","MOSFTE13",0.72
"20260301064500","MOSFTE13",0.53
"20260301064600","MOSFTE13",1.06
"20260301064700","MOSFTE13",0.66
"20260301064800","MOSFTE13",0.54
"20260301064900","MOSFTE13",0.67
"20260301065000","MOSFTE13",0.76
"20260301065100","MOSFTE13",0.74
"20260301065200","MOSFTE13",1.01
"20260301065300","MOSFTE13",0.84
"20260301065400","MOSFTE13",0.80
"20260301065500","MOSFTE13",0.90
"20260301065600","MOSFTE13",1.01
"20260301065700","MOSFTE13",1.20
"20260301065800","MOSFTE13",1.14
"20260301065900","MOSFTE13",1.19
"20260301070000","MOSFTE13",1.19
"20260301070100","MOSFTE13",1.14
"20260301070200","MOSFTE13",1.24
"20260301070300","MOSFTE13",1.10
"20260301070400","MOSFTE13",0.95
"20260301070500","MOSFTE13",1.21
"20260301070600","MOSFTE13",0.94
"20260301070700","MOSFTE13",1.24
"20260301070800","MOSFTE13",0.76
"20260301070900","MOSFTE13",1.14
"20260301071000","MOSFTE13",0.81
"20260301071100","MOSFTE13",1.16
"20260301071200","MOSFTE13",0.82
"20260301071300","MOSFTE13",1.26
"20260301071400","MOSFTE13",0.86
"20260301071500","MOSFTE13",1.05
"20260301071600","MOSFTE13",1.23
"20260301071700","MOSFTE13",1.22
"20260301071800","MOSFTE13",1.19
"20260301071900","MOSFTE13",1.28
"20260301072000","MOSFTE13",1.41
"20260301072100","MOSFTE13",1.26
"20260301072200","MOSFTE13",1.30
"20260301072300","MOSFTE13",1.63
"20260301072400","MOSFTE13",0.79
"20260301072500","MOSFTE13",1.02
"20260301072600","MOSFTE13",1.61
"20260301072700","MOSFTE13",1.44
"20260301072800","MOSFTE13",1.28
"20260301072900","MOSFTE13",1.00
"20260301073000","MOSFTE13",1.80
"20260301073100","MOSFTE13",1.36
"20260301073200","MOSFTE13",1.34
"20260301073300","MOSFTE13",1.37
"20260301073400","MOSFTE13",1.26
"20260301073500","MOSFTE13",1.58
"20260301073600","MOSFTE13",1.46
"20260301073700","MOSFTE13",1.07
"20260301073800","MOSFTE13",1.61
"20260301073900","MOSFTE13",1.48
"20260301074000","MOSFTE13",1.38
"20260301074100","MOSFTE13",1.23
"20260301074200","MOSFTE13",1.37
"20260301074300","MOSFTE13",1.46
"20260301074400","MOSFTE13",1.83
"20260301074500","MOSFTE13",1.55
"20260301074600","MOSFTE13",1.57
"20260301074700","MOSFTE13",1.51
"20260301074800","MOSFTE13",1.39
"20260301074900","MOSFTE13",1.91
"20260301075000","MOSFTE13",1.63
"20260301075100","MOSFTE13",1.54
"20260301075200","MOSFTE13",1.97
"20260301075300","MOSFTE13",1.61
"20260301075400","MOSFTE13",1.90
"20260301075500","MOSFTE13",1.91
"20260301075600","MOSFTE13",1.59
"20260301075700","MOSFTE13",1.80
"20260301075800","MOSFTE13",1.89
"20260301075900","MOSFTE13",1.60
"20260301080000","MOSFTE13",2.15
"20260301080100","MOSFTE13",2.27
"20260301080200","MOSFTE13",2.02
"20260301080300","MOSFTE13",1.95
"20260301080400","MOSFTE13",1.83
"20260301080500","MOSFTE13",1.68
"20260301080600","MOSFTE13",1.74
"20260301080700","MOSFTE13",2.06
"20260301080800","MOSFTE13",1.78
"20260301080900","MOSFTE13",1.99
"20260301081000","MOSFTE13",2.34
"20260301081100","MOSFTE13",2.19
"20260301081200","MOSFTE13",2.15
"20260301081300","MOSFTE13",2.58
"20260301081400","MOSFTE13",1.81
"20260301081500","MOSFTE13",2.07
"20260301081600","MOSFTE13",2.17
"20260301081700","MOSFTE13",2.37
"20260301081800","MOSFTE13",2.64
"20260301081900","MOSFTE13",2.38
"20260301082000","MOSFTE13",2.64
"20260301082100","MOSFTE13",2.02
"20260301082200","MOSFTE13",2.47
"20260301082300","MOSFTE13",2.08
"20260301082400","MOSFTE13",2.71
"20260301082500","MOSFTE13",2.39
"20260301082600","MOSFTE13",2.44
"20260301082700","MOSFTE13",2.38
"20260301082800","MOSFTE13",2.65
"20260301082900","MOSFTE13",2.20
"20260301083000","MOSFTE13",2.68
"20260301083100","MOSFTE13",2.56
"20260301083200","MOSFTE13",2.95
"20260301083300","MOSFTE13",2.67
"20260301083400","MOSFTE13",2.48
"20260301083500","MOSFTE13",2.38
"20260301083600","MOSFTE13",2.27
"20260301083700","MOSFTE13",2.50
"20260301083800","MOSFTE13",2.54
"20260301083900","MOSFTE13",2.77
"20260301084000","MOSFTE13",2.67
"20260301084100","MOSFTE13",2.84
"20260301084200","MOSFTE13",2.82
"20260301084300","MOSFTE13",2.97
"20260301084400","MOSFTE13",2.44
"20260301084500","MOSFTE13",3.10
"20260301084600","MOSFTE13",3.21
"20260301084700","MOSFTE13",2.61
"20260301084800","MOSFTE13",2.51
"20260301084900","MOSFTE13",2.89
"20260301085000","MOSFTE13",3.20
"20260301085100","MOSFTE13",2.93
"20260301085200","MOSFTE13",2.91
"20260301085300","MOSFTE13",3.19
"20260301085400","MOSFTE13",2.96
"20260301085500","MOSFTE13",3.42
"20260301085600","MOSFTE13",3.14
"20260301085700","MOSFTE13",3.28
"20260301085800","MOSFTE13",3.18
"20260301085900","MOSFTE13",2.95
"20260301090000","MOSFTE13",3.07
"20260301090100","MOSFTE13",3.28
"20260301090200","MOSFTE13",3.59
"20260301090300","MOSFTE13",3.18
"20260301090400","MOSFTE13",3.18
"20260301090500","MOSFTE13",2.96
"20260301090600","MOSFTE13",3.66
"20260301090700","MOSFTE13",3.51
"20260301090800","MOSFTE13",3.22
"20260301090900","MOSFTE13",3.60
"20260301091000","MOSFTE13",3.45
"20260301091100","MOSFTE13",3.60
"20260301091200","MOSFTE13",3.95
"20260301091300","MOSFTE13",3.76
"20260301091400","MOSFTE13",3.40
"20260301091500","MOSFTE13",3.76
"20260301091600","MOSFTE13",4.06
"20260301091700","MOSFTE13",3.75
"20260301091800","MOSFTE13",3.32
"20260301091900","MOSFTE13",3.47
"20260301092000","MOSFTE13",4.20
"20260301092100","MOSFTE13",3.93
"20260301092200","MOSFTE13",3.85
"20260301092300","MOSFTE13",4.05
"20260301092400","MOSFTE13",4.01
"20260301092500","MOSFTE13",4.13
"20260301092600","MOSFTE13",4.06
"20260301092700","MOSFTE13",3.73
"20260301092800","MOSFTE13",4.04
"20260301092900","MOSFTE13",4.21
"20260301093000","MOSFTE13",4.08
"20260301093100","MOSFTE13",3.97
"20260301093200","MOSFTE13",4.19
