"datahora","objeto","valor"
"20260301050000","MOSFTE16",0.17
"20260301050100","MOSFTE16",0.00
"20260301050200","MOSFTE16",0.00
"20260301050300","MOSFTE16",0.15
"20260301050400","MOSFTE16",0.22
"20260301050500","MOSFTE16",0.14
"20260301050600","MOSFTE16",0.00
"20260301050700","MOSFTE16",0.41
"20260301050800","MOSFTE16",0.03
"20260301050900","MOSFTE16",0.36
"20260301051000","MOSFTE16",0.61
"20260301051100","MOSFTE16",0.00
"20260301051200","MOSFTE16",0.00
"20260301051300","MOSFTE16",0.62
"20260301051400","MOSFTE16",0.34
"20260301051500","MOSFTE16",0.20
"20260301051600","MOSFTE16",0.28
"20260301051700","MOSFTE16",0.15
"20260301051800","MOSFTE16",0.35
"20260301051900","MOSFTE16",0.00
"20260301052000","MOSFTE16",0.59
"20260301052100","MOSFTE16",0.58
"20260301052200","MOSFTE16",0.21
"20260301052300","MOSFTE16",0.47
"20260301052400","MOSFTE16",0.37
"20260301052500","MOSFTE16",0.08
"20260301052600","MOSFTE16",0.17
"20260301052700","MOSFTE16",0.39
"20260301052800","MOSFTE16",0.00
"20260301052900","MOSFTE16",0.08
"20260301053000","MOSFTE16",0.15
"20260301053100","MOSFTE16",0.79
"20260301053200","MOSFTE16",0.27
"20260301053300","MOSFTE16",0.35
"20260301053400","MOSFTE16",0.15
"20260301053500","MOSFTE16",0.32
"20260301053600","MOSFTE16",0.00
"20260301053700","MOSFTE16",0.65
"20260301053800","MOSFTE16",0.00
"20260301053900","MOSFTE16",0.06
"20260301054000","MOSFTE16",0.15
"20260301054100","MOSFTE16",0.05
"20260301054200","MOSFTE16",0.64
"20260301054300","MOSFTE16",0.41
"20260301054400","MOSFTE16",0.14
"20260301054500","MOSFTE16",0.18
"20260301054600","MOSFTE16",0.00
"20260301054700","MOSFTE16",0.27
"20260301054800","MOSFTE16",0.43
"20260301054900","MOSFTE16",0.45
"20260301055000","MOSFTE16",0.36
"20260301055100","MOSFTE16",0.60
"20260301055200","MOSFTE16",0.57
"20260301055300","MOSFTE16",0.41
"20260301055400","MOSFTE16",0.78
"20260301055500","MOSFTE16",0.22
"20260301055600","MOSFTE16",0.53
"20260301055700","MOSFTE16",0.32
"20260301055800","MOSFTE16",0.66
"20260301055900","MOSFTE16",0.46
"20260301060000","MOSFTE16",0.74
"20260301060100","MOSFTE16",0.33
"20260301060200","MOSFTE16",0.00
"20260301060300","MOSFTE16",0.29
"20260301060400","MOSFTE16",0.50
"20260301060500","MOSFTE16",0.59
"20260301060600","MOSFTE16",0.84
"20260301060700","MOSFTE16",0.11
"20260301060800","MOSFTE16",0.07
"20260301060900","MOSFTE16",0.47
"20260301061000","MOSFTE16",0.32
"20260301061100","MOSFTE16",0.52
"20260301061200","MOSFTE16",0.70
"20260301061300","MOSFTE16",0.38
"20260301061400","MOSFTE16",0.37
"20260301061500","MOSFTE16",0.53
"20260301061600","MOSFTE16",0.89
"20260301061700","MOSFTE16",0.56
"20260301061800","MOSFTE16",0.28
"20260301061900","MOSFTE16",0.73
"20260301062000","MOSFTE16",0.11
"20260301062100","MOSFTE16",0.95
"20260301062200","MOSFTE16",0.80
"20260301062300","MOSFTE16",0.52
"20260301062400","MOSFTE16",0.69
"20260301062500","MOSFTE16",0.71
"20260301062600","MOSFTE16",0.67
"20260301062700","MOSFTE16",0.47
"20260301062800","MOSFTE16",0.21
"20260301062900","MOSFTE16",0.89
"20260301063000","MOSFTE16",0.87
"20260301063100","MOSFTE16",0.70
"20260301063200","MOSFTE16",0.96
"20260301063300","MOSFTE16",0.81
"20260301063400","MOSFTE16",0.63
"20260301063500","MOSFTE16",0.29
"20260301063600","MOSFTE16",1.29
"20260301063700","MOSFTE16",0.58
"20260301063800","MOSFTE16",0.66
"20260301063900","MOSFTE16",0.67
"20260301064000","MOSFTE16",1.25
"20260301064100","MOSFTE16",0.85
"20260301064200","MOSFTE16",0.72
"20260301064300","MOSFTE16",0.84
"20260301064400","MOSFTE16",0.28
"20260301064500","MOSFTE16",0.60
"20260301064600","MOSFTE16",1.33
"20260301064700","MOSFTE16",0.73
"20260301064800","MOSFTE16",0.94
"20260301064900","MOSFTE16",0.58
"20260301065000","MOSFTE16",0.58
"20260301065100","MOSFTE16",1.08
"20260301065200","MOSFTE16",0.43
"20260301065300","MOSFTE16",1.18
"20260301065400","MOSFTE16",0.79
"20260301065500","MOSFTE16",1.15
"20260301065600","MOSFTE16",1.12
"20260301065700","MOSFTE16",1.37
"20260301065800","MOSFTE16",1.57
"20260301065900","MOSFTE16",1.41
"20260301070000","MOSFTE16",1.02
"20260301070100","MOSFTE16",0.87
"20260301070200","MOSFTE16",0.95
"20260301070300","MOSFTE16",1.21
"20260301070400","MOSFTE16",0.77
"20260301070500","MOSFTE16",1.26
"20260301070600","MOSFTE16",1.07
"20260301070700","MOSFTE16",1.26
"20260301070800","MOSFTE16",0.61
"20260301070900","MOSFTE16",0.59
"20260301071000","MOSFTE16",1.24
"20260301071100","MOSFTE16",0.65
"20260301071200","MOSFTE16",1.16
"20260301071300","MOSFTE16",1.05
"20260301071400","MOSFTE16",1.27
"20260301071500","MOSFTE16",1.75
"20260301071600","MOSFTE16",0.84
"20260301071700","MOSFTE16",0.93
"20260301071800","MOSFTE16",1.16
"20260301071900","MOSFTE16",1.16
"20260301072000","MOSFTE16",0.57
"20260301072100","MOSFTE16",1.14
"20260301072200","MOSFTE16",1.31
"20260301072300","MOSFTE16",1.26
"20260301072400","MOSFTE16",1.03
"20260301072500","MOSFTE16",1.33
"20260301072600","MOSFTE16",1.32
"20260301072700","MOSFTE16",1.48
"20260301072800","MOSFTE16",1.68
"20260301072900","MOSFTE16",0.84
"20260301073000","MOSFTE16",1.01
"20260301073100","MOSFTE16",1.26
"20260301073200","MOSFTE16",1.48
"20260301073300","MOSFTE16",1.52
"20260301073400","MOSFTE16",1.45
"20260301073500","MOSFTE16",1.29
"20260301073600","MOSFTE16",1.57
"20260301073700","MOSFTE16",1.64
"20260301073800","MOSFTE16",1.11
"20260301073900","MOSFTE16",1.60
"20260301074000","MOSFTE16",1.66
"20260301074100","MOSFTE16",1.63
"20260301074200","MOSFTE16",1.60
"20260301074300","MOSFTE16",1.45
"20260301074400","MOSFTE16",1.83
"20260301074500","MOSFTE16",1.43
"20260301074600","MOSFTE16",1.86
"20260301074700","MOSFTE16",1.66
"20260301074800","MOSFTE16",1.63
"20260301074900","MOSFTE16",1.53
"20260301075000","MOSFTE16",1.04
"20260301075100","MOSFTE16",1.53
"20260301075200","MOSFTE16",1.74
"20260301075300","MOSFTE16",1.23
"20260301075400","MOSFTE16",1.67
"20260301075500","MOSFTE16",2.06
"20260301075600","MOSFTE16",1.68
"20260301075700","MOSFTE16",1.41
"20260301075800","MOSFTE16",1.77
"20260301075900","MOSFTE16",2.00
"20260301080000","MOSFTE16",1.41
"20260301080100","MOSFTE16",2.41
"20260301080200","MOSFTE16",1.85
"20260301080300","MOSFTE16",2.03
"20260301080400","MOSFTE16",2.37
"20260301080500","MOSFTE16",2.12
"20260301080600","MOSFTE16",2.00
"20260301080700","MOSFTE16",2.09
"20260301080800","MOSFTE16",1.89
"20260301080900","MOSFTE16",2.16
"20260301081000","MOSFTE16",2.02
"20260301081100","MOSFTE16",2.34
"20260301081200","MOSFTE16",2.26
"20260301081300","MOSFTE16",1.85
"20260301081400","MOSFTE16",1.92
"20260301081500","MOSFTE16",1.98
"20260301081600","MOSFTE16",2.13
"20260301081700","MOSFTE16",2.29
"20260301081800","MOSFTE16",2.61
"20260301081900","MOSFTE16",1.92
"20260301082000","MOSFTE16",2.42
"20260301082100","MOSFTE16",1.85
"20260301082200","MOSFTE16",2.40
"20260301082300","MOSFTE16",2.57
"20260301082400","MOSFTE16",2.04
"20260301082500","MOSFTE16",2.33
"20260301082600","MOSFTE16",2.23
"20260301082700","MOSFTE16",2.43
"20260301082800","MOSFTE16",2.66
"20260301082900","MOSFTE16",2.66
"20260301083000","MOSFTE16",2.37
"20260301083100","MOSFTE16",2.58
"20260301083200","MOSFTE16",2.73
"20260301083300","MOSFTE16",2.71
"20260301083400","MOSFTE16",1.98
"20260301083500","MOSFTE16",2.49
"20260301083600","MOSFTE16",3.02
"20260301083700","MOSFTE16",2.91
"20260301083800","MOSFTE16",2.97
"20260301083900","MOSFTE16",2.77
"20260301084000","MOSFTE16",2.90
"20260301084100","MOSFTE16",2.97
"20260301084200","MOSFTE16",3.04
"20260301084300","MOSFTE16",3.04
"20260301084400","MOSFTE16",2.73
"20260301084500","MOSFTE16",3.08
"20260301084600","MOSFTE16",3.22
"20260301084700","MOSFTE16",3.12
"20260301084800","MOSFTE16",3.19
"20260301084900","MOSFTE16",3.17
"20260301085000","MOSFTE16",3.46
"20260301085100","MOSFTE16",3.10
"20260301085200","MOSFTE16",3.04
"20260301085300","MOSFTE16",2.71
"20260301085400","MOSFTE16",3.22
"20260301085500","MOSFTE16",3.16
"20260301085600","MOSFTE16",2.64
"20260301085700","MOSFTE16",2.93
"20260301085800","MOSFTE16",3.51
"20260301085900","MOSFTE16",3.44
"20260301090000","MOSFTE16",3.16
"20260301090100","MOSFTE16",3.22
"20260301090200","MOSFTE16",3.16
"20260301090300","MOSFTE16",3.60
"20260301090400","MOSFTE16",3.24
"20260301090500","MOSFTE16",3.60
"20260301090600","MOSFTE16",3.22
"20260301090700","MOSFTE16",3.54
"20260301090800","MOSFTE16",3.48
"20260301090900","MOSFTE16",3.67
"20260301091000","MOSFTE16",3.41
"20260301091100","MOSFTE16",3.26
"20260301091200","MOSFTE16",3.53
"20260301091300","MOSFTE16",3.90
"20260301091400","MOSFTE16",3.52
"20260301091500","MOSFTE16",3.73
"20260301091600","MOSFTE16",3.19
"20260301091700","MOSFTE16",3.81
"20260301091800","MOSFTE16",3.84
"20260301091900","MOSFTE16",4.23
"20260301092000","MOSFTE16",3.57
"20260301092100","MOSFTE16",3.94
"20260301092200","MOSFTE16",3.99
"20260301092300","MOSFTE16",3.97
"20260301092400","MOSFTE16",4.00
"20260301092500","MOSFTE16",4.18
"20260301092600","MOSFTE16",3.83
"20260301092700","MOSFTE16",4.07
"20260301092800","MOSFTE16",4.09
"20260301092900","MOSFTE16",4.20
"20260301093000","MOSFTE16",4.11
"20260301093100","MOSFTE16",3.75
"20260301093200","MOSFTE16",4.28
"20260301093300","MOSFTE16",4.32
"20260301093400","MOSFTE16",4.43
"20260301093500","MOSFTE16",3.98
"20260301093600","MOSFTE16",4.00
"20260301093700","MOSFTE16",4.39
"20260301093800","MOSFTE16",4.28
"20260301093900","MOSFTE16",4.40
"20260301094000","MOSFTE16",4.38
"20260301094100","MOSFTE16",4.12
"20260301094200","MOSFTE16",5.15
"20260301094300","MOSFTE16",4.15
"20260301094400","MOSFTE16",4.59
"20260301094500","MOSFTE16",4.96
"20260301094600","MOSFTE16",4.27
"20260301094700","MOSFTE16",4.59
"20260301094800","MOSFTE16",4.92
"20260301094900","MOSFTE16",4.44
"20260301095000","MOSFTE16",4.78
"20260301095100","MOSFTE16",4.96
"20260301095200","MOSFTE16",5.30
"20260301095300","MOSFTE16",4.91
"20260301095400","MOSFTE16",4.65
"20260301095500","MOSFTE16",4.72
"20260301095600","MOSFTE16",4.75
"20260301095700","MOSFTE16",5.38
"20260301095800","MOSFTE16",4.62
"20260301095900","MOSFTE16",5.20
"20260301100000","MOSFTE16",5.41
"20260301100100","MOSFTE16",4.44
"20260301100200","MOSFTE16",5.04
"20260301100300","MOSFTE16",4.78
"20260301100400","MOSFTE16",5.57
"20260301100500","MOSFTE16",5.34
"20260301100600","MOSFTE16",4.98
"20260301100700","MOSFTE16",5.29
"20260301100800","MOSFTE16",5.59
"20260301100900","MOSFTE16",5.46
"20260301101000","MOSFTE16",5.60
"20260301101100","MOSFTE16",4.90
"20260301101200","MOSFTE16",5.55
"20260301101300","MOSFTE16",5.83
"20260301101400","MOSFTE16",5.53
"20260301101500","MOSFTE16",5.81
"20260301101600","MOSFTE16",5.43
"20260301101700","MOSFTE16",5.57
"20260301101800","MOSFTE16",5.75
"20260301101900","MOSFTE16",5.85
"20260301102000","MOSFTE16",5.67
"20260301102100","MOSFTE16",5.88
"20260301102200","MOSFTE16",5.68
"20260301102300","MOSFTE16",5.63
"20260301102400","MOSFTE16",6.16
"20260301102500","MOSFTE16",5.48
"20260301102600","MOSFTE16",6.03
"20260301102700","MOSFTE16",5.88
"20260301102800","MOSFTE16",5.71
"20260301102900","MOSFTE16",6.03
"20260301103000","MOSFTE16",5.92
"20260301103100","MOSFTE16",5.73
"20260301103200","MOSFTE16",5.88
"20260301103300","MOSFTE16",6.26
"20260301103400","MOSFTE16",6.52
"20260301103500","MOSFTE16",6.49
"20260301103600","MOSFTE16",5.87
"20260301103700","MOSFTE16",6.32
"20260301103800","MOSFTE16",6.35
"20260301103900","MOSFTE16",6.47
"20260301104000","MOSFTE16",6.65
"20260301104100","MOSFTE16",6.01
"20260301104200","MOSFTE16",6.63
"20260301104300","MOSFTE16",6.54
"20260301104400","MOSFTE16",6.73
"20260301104500","MOSFTE16",6.93
"20260301104600","MOSFTE16",6.65
"20260301104700","MOSFTE16",6.86
"20260301104800","MOSFTE16",6.49
"20260301104900","MOSFTE16",6.87
"20260301105000","MOSFTE16",7.10
"20260301105100","MOSFTE16",6.69
"20260301105200","MOSFTE16",6.94
"20260301105300","MOSFTE16",6.91
"20260301105400","MOSFTE16",6.86
"20260301105500","MOSFTE16",6.99
"20260301105600","MOSFTE16",6.50
"20260301105700","MOSFTE16",6.80
"20260301105800","MOSFTE16",6.64
"20260301105900","MOSFTE16",7.03
"20260301110000","MOSFTE16",7.30
"20260301110100","MOSFTE16",7.41
"20260301110200","MOSFTE16",7.04
"20260301110300","MOSFTE16",6.98
"20260301110400","MOSFTE16",7.13
"20260301110500","MOSFTE16",6.88
"20260301110600","MOSFTE16",7.13
"20260301110700","MOSFTE16",7.32
"20260301110800","MOSFTE16",7.24
"20260301110900","MOSFTE16",7.29
"20260301111000","MOSFTE16",7.22
"20260301111100","MOSFTE16",7.58
"20260301111200","MOSFTE16",7.46
"20260301111300","MOSFTE16",7.70
"20260301111400","MOSFTE16",7.31
"20260301111500","MOSFTE16",7.37
"20260301111600","MOSFTE16",7.61
"20260301111700","MOSFTE16",7.27
"20260301111800","MOSFTE16",7.71
"20260301111900","MOSFTE16",7.40
"20260301112000","MOSFTE16",7.30
"20260301112100","MOSFTE16",7.44
"20260301112200","MOSFTE16",7.84
"20260301112300","MOSFTE16",7.99
"20260301112400","MOSFTE16",7.65
"20260301112500","MOSFTE16",7.89
"20260301112600","MOSFTE16",7.91
"20260301112700","MOSFTE16",7.64
"20260301112800","MOSFTE16",8.05
"20260301112900","MOSFTE16",8.01
"20260301113000","MOSFTE16",8.14
"20260301113100","MOSFTE16",8.21
"20260301113200","MOSFTE16",7.89
"20260301113300","MOSFTE16",7.48
"20260301113400","MOSFTE16",7.95
"20260301113500","MOSFTE16",8.16
"20260301113600","MOSFTE16",8.54
"20260301113700","MOSFTE16",8.45
"20260301113800","MOSFTE16",8.50
"20260301113900","MOSFTE16",8.39
"20260301114000","MOSFTE16",8.16
"20260301114100","MOSFTE16",8.45
"20260301114200","MOSFTE16",8.46
"20260301114300","MOSFTE16",8.94
"20260301114400","MOSFTE16",8.48
"20260301114500","MOSFTE16",8.35
"20260301114600","MOSFTE16",8.66
"20260301114700","MOSFTE16",8.60
"20260301114800","MOSFTE16",8.70
"20260301114900","MOSFTE16",8.11
"20260301115000","MOSFTE16",8.77
"20260301115100","MOSFTE16",8.55
"20260301115200","MOSFTE16",8.55
"20260301115300","MOSFTE16",8.45
"20260301115400","MOSFTE16",8.69
"20260301115500","MOSFTE16",9.08
"20260301115600","MOSFTE16",9.10
"20260301115700","MOSFTE16",8.83
"20260301115800","MOSFTE16",8.74
"20260301115900","MOSFTE16",9.27
"20260301120000","MOSFTE16",8.81
"20260301120100","MOSFTE16",8.85
"20260301120200","MOSFTE16",8.70
"20260301120300","MOSFTE16",9.13
"20260301120400","MOSFTE16",9.01
"20260301120500","MOSFTE16",8.27
"20260301120600","MOSFTE16",8.88
"20260301120700","MOSFTE16",9.11
"20260301120800","MOSFTE16",8.77
"20260301120900","MOSFTE16",9.08
"20260301121000","MOSFTE16",9.20
"20260301121100","MOSFTE16",8.97
"20260301121200","MOSFTE16",9.12
"20260301121300","MOSFTE16",9.02
"20260301121400","MOSFTE16",9.11
"20260301121500","MOSFTE16",8.75
