"datahora","objeto","valor"
"20260301050000","MOSFTE8",0.00
"20260301050100","MOSFTE8",0.26
"20260301050200","MOSFTE8",0.28
"20260301050300","MOSFTE8",0.30
"20260301050400","MOSFTE8",0.08
"20260301050500","MOSFTE8",0.02
"20260301050600","MOSFTE8",0.41
"20260301050700","MOSFTE8",0.34
"20260301050800","MOSFTE8",0.31
"20260301050900","MOSFTE8",0.59
"20260301051000","MOSFTE8",0.00
"20260301051100","MOSFTE8",0.69
"20260301051200","MOSFTE8",0.18
"20260301051300","MOSFTE8",0.09
"20260301051400","MOSFTE8",0.33
"20260301051500","MOSFTE8",0.16
"20260301051600","MOSFTE8",0.00
"20260301051700","MOSFTE8",0.07
"20260301051800","MOSFTE8",0.16
"20260301051900","MOSFTE8",0.00
"20260301052000","MOSFTE8",0.31
"20260301052100","MOSFTE8",0.00
"20260301052200","MOSFTE8",0.60
"20260301052300","MOSFTE8",0.34
"20260301052400","MOSFTE8",0.17
"20260301052500","MOSFTE8",0.26
"20260301052600","MOSFTE8",0.00
"20260301052700","MOSFTE8",0.42
"20260301052800","MOSFTE8",0.17
"20260301052900","MOSFTE8",0.23
"20260301053000","MOSFTE8",0.04
"20260301053100","MOSFTE8",0.51
"20260301053200","MOSFTE8",0.28
"20260301053300","MOSFTE8",0.04
"20260301053400","MOSFTE8",0.19
"20260301053500","MOSFTE8",0.53
"20260301053600","MOSFTE8",0.26
"20260301053700","MOSFTE8",0.26
"20260301053800","MOSFTE8",0.13
"20260301053900","MOSFTE8",0.14
"20260301054000","MOSFTE8",0.74
"20260301054100","MOSFTE8",0.53
"20260301054200","MOSFTE8",0.32
"20260301054300","MOSFTE8",0.51
"20260301054400","MOSFTE8",0.00
"20260301054500","MOSFTE8",0.06
"20260301054600","MOSFTE8",0.42
"20260301054700","MOSFTE8",0.54
"20260301054800","MOSFTE8",0.04
"20260301054900","MOSFTE8",0.55
"20260301055000","MOSFTE8",0.55
"20260301055100","MOSFTE8",0.11
"20260301055200","MOSFTE8",0.24
"20260301055300","MOSFTE8",0.46
"20260301055400","MOSFTE8",0.64
"20260301055500","MOSFTE8",0.79
"20260301055600","MOSFTE8",0.36
"20260301055700","MOSFTE8",0.22
"20260301055800","MOSFTE8",0.55
"20260301055900","MOSFTE8",0.43
"20260301060000","MOSFTE8",0.32
"20260301060100","MOSFTE8",0.48
"20260301060200","MOSFTE8",0.55
"20260301060300","MOSFTE8",0.66
"20260301060400","MOSFTE8",0.23
"20260301060500","MOSFTE8",0.72
"20260301060600","MOSFTE8",0.74
"20260301060700","MOSFTE8",0.52
"20260301060800","MOSFTE8",0.22
"20260301060900","MOSFTE8",0.12
"20260301061000","MOSFTE8",0.41
"20260301061100","MOSFTE8",1.07
"20260301061200","MOSFTE8",0.69
"20260301061300","MOSFTE8",0.54
"20260301061400","MOSFTE8",0.63
"20260301061500","MOSFTE8",0.25
"20260301061600","MOSFTE8",0.89
"20260301061700","MOSFTE8",0.54
"20260301061800","MOSFTE8",0.34
"20260301061900","MOSFTE8",0.49
"20260301062000","MOSFTE8",0.47
"20260301062100","MOSFTE8",0.42
"20260301062200","MOSFTE8",0.26
"20260301062300","MOSFTE8",0.33
"20260301062400","MOSFTE8",0.80
"20260301062500","MOSFTE8",0.36
"20260301062600","MOSFTE8",0.74
"20260301062700","MOSFTE8",0.67
"20260301062800","MOSFTE8",0.41
"20260301062900","MOSFTE8",0.60
"20260301063000","MOSFTE8",0.30
"20260301063100","MOSFTE8",0.52
"20260301063200","MOSFTE8",0.83
"20260301063300","MOSFTE8",0.52
"20260301063400","MOSFTE8",0.90
"20260301063500","MOSFTE8",1.03
"20260301063600","MOSFTE8",1.01
"20260301063700","MOSFTE8",0.80
"20260301063800","MOSFTE8",0.72
"20260301063900","MOSFTE8",0.83
"20260301064000","MOSFTE8",0.50
"20260301064100","MOSFTE8",0.52
"20260301064200","MOSFTE8",0.73
