"datahora","objeto","valor","watts"
"20260301000000","SCDC4",0.22,2.69
"20260301000100","SCDC4",0.06,0.71
"20260301000200","SCDC4",0.00,0.00
"20260301000300","SCDC4",0.19,2.24
"20260301000400","SCDC4",0.26,3.12
"20260301000500","SCDC4",0.00,0.00
"20260301000600","SCDC4",0.06,0.71
"20260301000700","SCDC4",0.00,0.00
"20260301000800","SCDC4",0.00,0.00
"20260301000900","SCDC4",0.25,3.06
"20260301001000","SCDC4",0.00,0.00
"20260301001100","SCDC4",0.12,1.45
"20260301001200","SCDC4",0.00,0.00
"20260301001300","SCDC4",0.08,0.92
"20260301001400","SCDC4",0.37,4.40
"20260301001500","SCDC4",0.00,0.00
"20260301001600","SCDC4",0.00,0.00
"20260301001700","SCDC4",0.13,1.58
"20260301001800","SCDC4",0.05,0.61
"20260301001900","SCDC4",0.00,0.00
"20260301002000","SCDC4",0.36,4.34
"20260301002100","SCDC4",0.00,0.00
"20260301002200","SCDC4",0.21,2.48
"20260301002300","SCDC4",0.00,0.00
"20260301002400","SCDC4",0.11,1.26
"20260301002500","SCDC4",0.23,2.73
"20260301002600","SCDC4",0.00,0.00
"20260301002700","SCDC4",0.00,0.00
"20260301002800","SCDC4",0.24,2.89
"20260301002900","SCDC4",0.08,0.93
"20260301003000","SCDC4",0.45,5.40
"20260301003100","SCDC4",0.00,0.00
"20260301003200","SCDC4",0.06,0.76
"20260301003300","SCDC4",0.64,7.62
"20260301003400","SCDC4",0.25,3.00
"20260301003500","SCDC4",0.00,0.00
"20260301003600","SCDC4",0.10,1.22
"20260301003700","SCDC4",0.00,0.00
"20260301003800","SCDC4",0.00,0.00
"20260301003900","SCDC4",0.29,3.49
"20260301004000","SCDC4",0.19,2.25
"20260301004100","SCDC4",0.46,5.48
"20260301004200","SCDC4",0.00,0.00
"20260301004300","SCDC4",0.00,0.00
"20260301004400","SCDC4",0.00,0.00
"20260301004500","SCDC4",0.06,0.69
"20260301004600","SCDC4",0.37,4.40
"20260301004700","SCDC4",0.00,0.00
"20260301004800","SCDC4",0.00,0.00
"20260301004900","SCDC4",0.11,1.27
"20260301005000","SCDC4",0.00,0.00
"20260301005100","SCDC4",0.00,0.00
"20260301005200","SCDC4",0.00,0.00
"20260301005300","SCDC4",0.06,0.69
