"datahora","objeto","valor","watts"
"20260301000000","SCDC3",0.23,2.78
"20260301000100","SCDC3",0.00,0.00
"20260301000200","SCDC3",0.00,0.00
"20260301000300","SCDC3",0.40,4.85
"20260301000400","SCDC3",0.00,0.00
"20260301000500","SCDC3",0.00,0.00
"20260301000600","SCDC3",0.00,0.00
"20260301000700","SCDC3",0.58,6.97
"20260301000800","SCDC3",0.63,7.56
"20260301000900","SCDC3",0.68,8.15
"20260301001000","SCDC3",0.00,0.00
"20260301001100","SCDC3",0.16,1.89
"20260301001200","SCDC3",0.00,0.00
"20260301001300","SCDC3",0.00,0.00
"20260301001400","SCDC3",0.31,3.66
"20260301001500","SCDC3",0.00,0.00
"20260301001600","SCDC3",0.45,5.36
"20260301001700","SCDC3",0.00,0.00
"20260301001800","SCDC3",0.00,0.00
"20260301001900","SCDC3",0.05,0.55
"20260301002000","SCDC3",0.44,5.25
"20260301002100","SCDC3",0.78,9.40
"20260301002200","SCDC3",0.23,2.76
"20260301002300","SCDC3",0.00,0.00
"20260301002400","SCDC3",0.07,0.79
"20260301002500","SCDC3",0.00,0.00
"20260301002600","SCDC3",0.00,0.00
"20260301002700","SCDC3",0.09,1.12
"20260301002800","SCDC3",0.00,0.00
"20260301002900","SCDC3",0.55,6.62
"20260301003000","SCDC3",0.12,1.45
"20260301003100","SCDC3",0.64,7.72
"20260301003200","SCDC3",0.11,1.29
"20260301003300","SCDC3",0.78,9.38
"20260301003400","SCDC3",0.16,1.95
"20260301003500","SCDC3",0.26,3.09
"20260301003600","SCDC3",0.55,6.62
"20260301003700","SCDC3",0.54,6.52
"20260301003800","SCDC3",0.96,11.50
"20260301003900","SCDC3",0.00,0.00
"20260301004000","SCDC3",0.00,0.00
"20260301004100","SCDC3",0.00,0.00
"20260301004200","SCDC3",0.22,2.62
"20260301004300","SCDC3",0.18,2.14
"20260301004400","SCDC3",0.14,1.68
"20260301004500","SCDC3",0.48,5.71
"20260301004600","SCDC3",0.00,0.00
"20260301004700","SCDC3",0.00,0.00
"20260301004800","SCDC3",0.00,0.00
"20260301004900","SCDC3",0.22,2.61
"20260301005000","SCDC3",0.00,0.00
"20260301005100","SCDC3",0.00,0.00
"20260301005200","SCDC3",0.00,0.00
"20260301005300","SCDC3",0.41,4.88
"20260301005400","SCDC3",0.00,0.00
"20260301005500","SCDC3",0.00,0.00
"20260301005600","SCDC3",0.26,3.13
"20260301005700","SCDC3",0.00,0.00
"20260301005800","SCDC3",0.00,0.00
"20260301005900","SCDC3",0.39,4.64
"20260301010000","SCDC3",0.00,0.00
"20260301010100","SCDC3",0.00,0.00
"20260301010200","SCDC3",0.06,0.77
"20260301010300","SCDC3",0.00,0.00
"20260301010400","SCDC3",0.00,0.00
"20260301010500","SCDC3",0.00,0.00
"20260301010600","SCDC3",0.00,0.00
"20260301010700","SCDC3",0.00,0.00
"20260301010800","SCDC3",0.32,3.90
"20260301010900","SCDC3",0.10,1.20
"20260301011000","SCDC3",0.44,5.23
"20260301011100","SCDC3",0.00,0.00
"20260301011200","SCDC3",0.00,0.00
"20260301011300","SCDC3",0.28,3.38
"20260301011400","SCDC3",0.00,0.00
"20260301011500","SCDC3",0.79,9.49
"20260301011600","SCDC3",0.00,0.00
"20260301011700","SCDC3",0.00,0.00
"20260301011800","SCDC3",0.00,0.00
"20260301011900","SCDC3",0.39,4.73
"20260301012000","SCDC3",0.49,5.87
"20260301012100","SCDC3",0.00,0.00
"20260301012200","SCDC3",0.00,0.00
"20260301012300","SCDC3",0.00,0.00
"20260301012400","SCDC3",0.00,0.00
"20260301012500","SCDC3",0.05,0.61
"20260301012600","SCDC3",0.00,0.00
"20260301012700","SCDC3",0.86,10.27
"20260301012800","SCDC3",0.00,0.00
"20260301012900","SCDC3",0.00,0.00
"20260301013000","SCDC3",0.00,0.00
"20260301013100","SCDC3",0.34,4.07
"20260301013200","SCDC3",0.35,4.16
"20260301013300","SCDC3",0.08,0.92
"20260301013400","SCDC3",0.00,0.00
"20260301013500","SCDC3",0.02,0.29
"20260301013600","SCDC3",0.24,2.92
"20260301013700","SCDC3",0.00,0.00
"20260301013800","SCDC3",0.25,2.96
"20260301013900","SCDC3",0.55,6.60
"20260301014000","SCDC3",0.18,2.16
"20260301014100","SCDC3",0.71,8.52
"20260301014200","SCDC3",0.00,0.00
"20260301014300","SCDC3",0.00,0.00
"20260301014400","SCDC3",0.00,0.00
"20260301014500","SCDC3",0.08,0.94
"20260301014600","SCDC3",0.47,5.59
"20260301014700","SCDC3",0.01,0.11
"20260301014800","SCDC3",0.09,1.05
"20260301014900","SCDC3",0.00,0.03
"20260301015000","SCDC3",0.27,3.24
"20260301015100","SCDC3",0.50,6.00
"20260301015200","SCDC3",0.38,4.52
"20260301015300","SCDC3",0.51,6.10
"20260301015400","SCDC3",0.22,2.63
"20260301015500","SCDC3",0.00,0.00
"20260301015600","SCDC3",0.51,6.15
"20260301015700","SCDC3",0.17,2.05
"20260301015800","SCDC3",0.00,0.00
"20260301015900","SCDC3",0.11,1.29
"20260301020000","SCDC3",0.00,0.00
"20260301020100","SCDC3",0.00,0.00
"20260301020200","SCDC3",0.00,0.00
"20260301020300","SCDC3",0.00,0.00
"20260301020400","SCDC3",0.05,0.64
"20260301020500","SCDC3",0.25,2.97
"20260301020600","SCDC3",0.47,5.61
"20260301020700","SCDC3",0.46,5.47
"20260301020800","SCDC3",0.62,7.42
"20260301020900","SCDC3",1.06,12.74
"20260301021000","SCDC3",0.23,2.75
"20260301021100","SCDC3",0.00,0.00
"20260301021200","SCDC3",0.00,0.00
"20260301021300","SCDC3",0.00,0.00
"20260301021400","SCDC3",0.38,4.54
"20260301021500","SCDC3",0.17,1.99
"20260301021600","SCDC3",0.19,2.34
"20260301021700","SCDC3",0.26,3.10
"20260301021800","SCDC3",0.00,0.00
"20260301021900","SCDC3",0.48,5.71
"20260301022000","SCDC3",0.13,1.54
"20260301022100","SCDC3",0.00,0.00
"20260301022200","SCDC3",0.29,3.49
"20260301022300","SCDC3",0.00,0.00
"20260301022400","SCDC3",0.47,5.64
"20260301022500","SCDC3",0.39,4.64
"20260301022600","SCDC3",0.25,2.98
"20260301022700","SCDC3",0.35,4.14
"20260301022800","SCDC3",0.24,2.85
"20260301022900","SCDC3",0.21,2.54
"20260301023000","SCDC3",0.00,0.00
"20260301023100","SCDC3",0.45,5.43
"20260301023200","SCDC3",0.00,0.00
"20260301023300","SCDC3",0.08,0.93
"20260301023400","SCDC3",0.44,5.25
"20260301023500","SCDC3",0.00,0.00
"20260301023600","SCDC3",0.75,9.03
"20260301023700","SCDC3",0.54,6.49
"20260301023800","SCDC3",0.06,0.74
"20260301023900","SCDC3",0.48,5.78
"20260301024000","SCDC3",0.00,0.00
"20260301024100","SCDC3",0.04,0.50
"20260301024200","SCDC3",0.15,1.85
"20260301024300","SCDC3",0.33,4.01
"20260301024400","SCDC3",0.00,0.00
