"datahora","objeto","valor","watts"
"20260301000000","SCDC0",0.00,0.00
"20260301000100","SCDC0",0.00,0.00
"20260301000200","SCDC0",0.13,1.57
"20260301000300","SCDC0",0.02,0.26
"20260301000400","SCDC0",0.00,0.00
"20260301000500","SCDC0",0.96,11.49
"20260301000600","SCDC0",0.00,0.00
"20260301000700","SCDC0",0.40,4.82
"20260301000800","SCDC0",0.31,3.70
"20260301000900","SCDC0",0.00,0.00
"20260301001000","SCDC0",0.27,3.24
"20260301001100","SCDC0",0.21,2.51
"20260301001200","SCDC0",0.22,2.60
"20260301001300","SCDC0",0.00,0.00
"20260301001400","SCDC0",0.67,8.00
"20260301001500","SCDC0",0.00,0.00
"20260301001600","SCDC0",0.00,0.00
"20260301001700","SCDC0",0.02,0.22
"20260301001800","SCDC0",0.18,2.12
"20260301001900","SCDC0",0.25,3.03
"20260301002000","SCDC0",0.17,2.06
"20260301002100","SCDC0",0.00,0.00
"20260301002200","SCDC0",0.00,0.00
"20260301002300","SCDC0",0.44,5.26
"20260301002400","SCDC0",0.00,0.00
"20260301002500","SCDC0",0.32,3.88
"20260301002600","SCDC0",0.58,6.93
"20260301002700","SCDC0",0.03,0.38
"20260301002800","SCDC0",0.11,1.35
"20260301002900","SCDC0",0.16,1.86
"20260301003000","SCDC0",0.04,0.49
"20260301003100","SCDC0",0.00,0.00
"20260301003200","SCDC0",0.00,0.00
"20260301003300","SCDC0",0.00,0.00
"20260301003400","SCDC0",0.34,4.04
"20260301003500","SCDC0",0.00,0.00
"20260301003600","SCDC0",0.00,0.00
"20260301003700","SCDC0",0.12,1.42
"20260301003800","SCDC0",0.18,2.21
"20260301003900","SCDC0",0.00,0.00
"20260301004000","SCDC0",0.84,10.12
"20260301004100","SCDC0",0.00,0.00
"20260301004200","SCDC0",0.00,0.00
"20260301004300","SCDC0",0.00,0.00
"20260301004400","SCDC0",0.00,0.00
"20260301004500","SCDC0",0.00,0.00
"20260301004600","SCDC0",0.00,0.00
"20260301004700","SCDC0",0.00,0.00
"20260301004800","SCDC0",0.00,0.00
"20260301004900","SCDC0",0.00,0.00
"20260301005000","SCDC0",0.09,1.03
"20260301005100","SCDC0",0.00,0.00
"20260301005200","SCDC0",0.00,0.00
"20260301005300","SCDC0",0.00,0.00
"20260301005400","SCDC0",0.11,1.32
"20260301005500","SCDC0",0.00,0.00
"20260301005600","SCDC0",0.00,0.00
"20260301005700","SCDC0",0.00,0.00
"20260301005800","SCDC0",0.06,0.70
"20260301005900","SCDC0",0.23,2.80
"20260301010000","SCDC0",0.00,0.00
"20260301010100","SCDC0",0.00,0.00
"20260301010200","SCDC0",0.00,0.00
"20260301010300","SCDC0",0.00,0.00
"20260301010400","SCDC0",0.00,0.00
"20260301010500","SCDC0",0.00,0.00
"20260301010600","SCDC0",0.00,0.00
"20260301010700","SCDC0",0.00,0.00
"20260301010800","SCDC0",0.00,0.01
"20260301010900","SCDC0",0.00,0.00
"20260301011000","SCDC0",0.00,0.00
