"datahora","objeto","valor","watts"
"20260301000000","SCDC8",0.38,4.53
"20260301000100","SCDC8",0.20,2.42
"20260301000200","SCDC8",0.00,0.00
"20260301000300","SCDC8",0.11,1.32
"20260301000400","SCDC8",0.00,0.00
"20260301000500","SCDC8",0.17,2.10
"20260301000600","SCDC8",0.00,0.00
"20260301000700","SCDC8",0.04,0.52
"20260301000800","SCDC8",0.69,8.30
"20260301000900","SCDC8",0.03,0.33
"20260301001000","SCDC8",0.00,0.00
"20260301001100","SCDC8",0.27,3.19
"20260301001200","SCDC8",0.00,0.00
"20260301001300","SCDC8",0.00,0.00
"20260301001400","SCDC8",0.00,0.00
"20260301001500","SCDC8",0.19,2.29
"20260301001600","SCDC8",0.16,1.90
"20260301001700","SCDC8",0.00,0.00
"20260301001800","SCDC8",0.23,2.82
"20260301001900","SCDC8",0.07,0.87
"20260301002000","SCDC8",0.00,0.00
"20260301002100","SCDC8",0.85,10.15
"20260301002200","SCDC8",0.27,3.21
"20260301002300","SCDC8",0.00,0.00
"20260301002400","SCDC8",0.07,0.85
"20260301002500","SCDC8",0.00,0.00
"20260301002600","SCDC8",0.59,7.04
"20260301002700","SCDC8",0.11,1.30
"20260301002800","SCDC8",0.19,2.28
"20260301002900","SCDC8",0.33,3.92
"20260301003000","SCDC8",0.00,0.00
"20260301003100","SCDC8",0.13,1.56
"20260301003200","SCDC8",0.00,0.00
"20260301003300","SCDC8",0.00,0.00
"20260301003400","SCDC8",0.00,0.00
"20260301003500","SCDC8",0.00,0.00
"20260301003600","SCDC8",0.30,3.62
"20260301003700","SCDC8",0.33,3.93
"20260301003800","SCDC8",0.00,0.00
"20260301003900","SCDC8",0.00,0.00
"20260301004000","SCDC8",0.31,3.71
"20260301004100","SCDC8",0.00,0.00
"20260301004200","SCDC8",0.11,1.34
"20260301004300","SCDC8",0.37,4.38
"20260301004400","SCDC8",0.05,0.65
"20260301004500","SCDC8",0.16,1.91
"20260301004600","SCDC8",0.36,4.37
"20260301004700","SCDC8",0.17,2.07
"20260301004800","SCDC8",0.00,0.00
"20260301004900","SCDC8",0.30,3.65
"20260301005000","SCDC8",0.00,0.00
"20260301005100","SCDC8",0.12,1.40
"20260301005200","SCDC8",0.00,0.00
"20260301005300","SCDC8",0.62,7.41
"20260301005400","SCDC8",0.41,4.94
"20260301005500","SCDC8",0.74,8.86
"20260301005600","SCDC8",0.00,0.00
"20260301005700","SCDC8",0.12,1.45
"20260301005800","SCDC8",0.22,2.61
"20260301005900","SCDC8",0.57,6.88
"20260301010000","SCDC8",0.82,9.87
"20260301010100","SCDC8",0.36,4.26
"20260301010200","SCDC8",0.00,0.00
"20260301010300","SCDC8",0.12,1.49
"20260301010400","SCDC8",0.00,0.00
"20260301010500","SCDC8",0.43,5.16
"20260301010600","SCDC8",0.69,8.33
"20260301010700","SCDC8",0.16,1.91
"20260301010800","SCDC8",0.39,4.67
"20260301010900","SCDC8",0.00,0.00
"20260301011000","SCDC8",0.26,3.11
"20260301011100","SCDC8",0.00,0.00
"20260301011200","SCDC8",0.00,0.00
"20260301011300","SCDC8",0.28,3.42
"20260301011400","SCDC8",0.00,0.00
"20260301011500","SCDC8",0.50,5.96
"20260301011600","SCDC8",0.00,0.00
"20260301011700","SCDC8",0.00,0.00
"20260301011800","SCDC8",0.24,2.84
"20260301011900","SCDC8",0.38,4.58
"20260301012000","SCDC8",0.00,0.00
"20260301012100","SCDC8",0.00,0.00
"20260301012200","SCDC8",0.00,0.01
"20260301012300","SCDC8",0.18,2.17
"20260301012400","SCDC8",0.00,0.00
"20260301012500","SCDC8",0.31,3.68
"20260301012600","SCDC8",0.00,0.00
"20260301012700","SCDC8",0.00,0.00
"20260301012800","SCDC8",0.95,11.42
"20260301012900","SCDC8",0.03,0.36
"20260301013000","SCDC8",0.12,1.43
"20260301013100","SCDC8",0.16,1.94
"20260301013200","SCDC8",0.70,8.46
"20260301013300","SCDC8",0.00,0.00
"20260301013400","SCDC8",0.00,0.00
"20260301013500","SCDC8",0.57,6.88
"20260301013600","SCDC8",0.06,0.73
"20260301013700","SCDC8",0.56,6.73
"20260301013800","SCDC8",0.00,0.00
"20260301013900","SCDC8",0.08,0.99
