"datahora","objeto","valor","watts"
"20260301000000","SCDC1",0.00,0.00
"20260301000100","SCDC1",0.00,0.00
"20260301000200","SCDC1",0.00,0.00
"20260301000300","SCDC1",0.00,0.00
"20260301000400","SCDC1",0.08,0.97
"20260301000500","SCDC1",0.73,8.81
"20260301000600","SCDC1",0.19,2.28
"20260301000700","SCDC1",0.00,0.00
"20260301000800","SCDC1",0.00,0.00
"20260301000900","SCDC1",0.00,0.00
"20260301001000","SCDC1",0.00,0.00
"20260301001100","SCDC1",0.14,1.63
"20260301001200","SCDC1",0.38,4.61
"20260301001300","SCDC1",0.00,0.00
"20260301001400","SCDC1",0.00,0.00
"20260301001500","SCDC1",0.00,0.00
"20260301001600","SCDC1",0.00,0.00
"20260301001700","SCDC1",0.15,1.79
"20260301001800","SCDC1",0.00,0.00
"20260301001900","SCDC1",0.00,0.00
"20260301002000","SCDC1",0.56,6.77
"20260301002100","SCDC1",0.00,0.00
"20260301002200","SCDC1",0.18,2.13
"20260301002300","SCDC1",0.00,0.00
"20260301002400","SCDC1",0.68,8.15
"20260301002500","SCDC1",0.00,0.00
"20260301002600","SCDC1",0.22,2.64
"20260301002700","SCDC1",0.07,0.84
"20260301002800","SCDC1",0.83,9.97
"20260301002900","SCDC1",0.00,0.00
"20260301003000","SCDC1",0.37,4.49
"20260301003100","SCDC1",0.00,0.00
"20260301003200","SCDC1",0.00,0.00
"20260301003300","SCDC1",0.41,4.94
"20260301003400","SCDC1",0.00,0.00
"20260301003500","SCDC1",0.00,0.00
"20260301003600","SCDC1",0.21,2.50
"20260301003700","SCDC1",0.00,0.02
"20260301003800","SCDC1",0.00,0.00
"20260301003900","SCDC1",0.51,6.09
"20260301004000","SCDC1",0.00,0.00
"20260301004100","SCDC1",0.03,0.41
"20260301004200","SCDC1",0.21,2.56
"20260301004300","SCDC1",0.00,0.00
"20260301004400","SCDC1",0.00,0.00
"20260301004500","SCDC1",0.18,2.19
"20260301004600","SCDC1",0.31,3.73
"20260301004700","SCDC1",0.00,0.00
"20260301004800","SCDC1",0.42,5.09
"20260301004900","SCDC1",0.00,0.00
"20260301005000","SCDC1",0.01,0.13
"20260301005100","SCDC1",0.57,6.81
"20260301005200","SCDC1",0.15,1.85
"20260301005300","SCDC1",0.00,0.00
"20260301005400","SCDC1",0.15,1.81
"20260301005500","SCDC1",0.08,0.96
"20260301005600","SCDC1",0.43,5.21
"20260301005700","SCDC1",0.88,10.56
"20260301005800","SCDC1",0.00,0.00
"20260301005900","SCDC1",0.00,0.00
"20260301010000","SCDC1",0.00,0.00
"20260301010100","SCDC1",0.00,0.00
"20260301010200","SCDC1",0.42,5.05
"20260301010300","SCDC1",0.15,1.84
"20260301010400","SCDC1",0.00,0.00
"20260301010500","SCDC1",0.46,5.52
"20260301010600","SCDC1",0.00,0.00
"20260301010700","SCDC1",0.20,2.39
"20260301010800","SCDC1",0.14,1.67
"20260301010900","SCDC1",0.00,0.00
"20260301011000","SCDC1",0.00,0.00
"20260301011100","SCDC1",0.00,0.00
"20260301011200","SCDC1",0.36,4.38
"20260301011300","SCDC1",0.19,2.31
"20260301011400","SCDC1",0.33,3.93
"20260301011500","SCDC1",0.52,6.25
"20260301011600","SCDC1",0.02,0.23
"20260301011700","SCDC1",0.18,2.16
"20260301011800","SCDC1",0.44,5.26
"20260301011900","SCDC1",0.65,7.80
"20260301012000","SCDC1",0.37,4.50
"20260301012100","SCDC1",0.00,0.00
"20260301012200","SCDC1",0.00,0.00
"20260301012300","SCDC1",0.00,0.00
"20260301012400","SCDC1",0.00,0.00
"20260301012500","SCDC1",0.00,0.00
"20260301012600","SCDC1",0.19,2.23
"20260301012700","SCDC1",0.48,5.77
"20260301012800","SCDC1",0.21,2.54
"20260301012900","SCDC1",0.00,0.00
"20260301013000","SCDC1",0.20,2.36
"20260301013100","SCDC1",0.00,0.00
"20260301013200","SCDC1",0.00,0.00
"20260301013300","SCDC1",0.41,4.90
"20260301013400","SCDC1",0.04,0.48
"20260301013500","SCDC1",0.76,9.10
"20260301013600","SCDC1",0.34,4.10
"20260301013700","SCDC1",0.00,0.00
"20260301013800","SCDC1",0.18,2.17
"20260301013900","SCDC1",0.14,1.65
"20260301014000","SCDC1",0.37,4.39
"20260301014100","SCDC1",0.16,1.92
"20260301014200","SCDC1",0.51,6.14
"20260301014300","SCDC1",0.00,0.00
"20260301014400","SCDC1",0.72,8.64
