"datahora","objeto","valor","watts"
"20260301000000","SCDC10",0.00,0.00
"20260301000100","SCDC10",0.35,4.26
"20260301000200","SCDC10",0.00,0.00
"20260301000300","SCDC10",0.39,4.68
"20260301000400","SCDC10",0.00,0.00
"20260301000500","SCDC10",0.14,1.62
"20260301000600","SCDC10",0.28,3.40
"20260301000700","SCDC10",0.56,6.74
"20260301000800","SCDC10",0.00,0.00
"20260301000900","SCDC10",0.00,0.00
"20260301001000","SCDC10",0.37,4.45
"20260301001100","SCDC10",0.21,2.47
"20260301001200","SCDC10",0.13,1.51
"20260301001300","SCDC10",0.67,8.09
"20260301001400","SCDC10",0.00,0.00
"20260301001500","SCDC10",0.11,1.35
"20260301001600","SCDC10",0.00,0.00
"20260301001700","SCDC10",0.00,0.00
"20260301001800","SCDC10",0.24,2.86
"20260301001900","SCDC10",0.15,1.81
"20260301002000","SCDC10",0.00,0.00
"20260301002100","SCDC10",0.58,6.94
"20260301002200","SCDC10",0.00,0.00
"20260301002300","SCDC10",0.00,0.00
"20260301002400","SCDC10",0.11,1.34
"20260301002500","SCDC10",0.00,0.00
"20260301002600","SCDC10",0.72,8.62
"20260301002700","SCDC10",0.30,3.62
"20260301002800","SCDC10",0.32,3.84
"20260301002900","SCDC10",0.00,0.00
"20260301003000","SCDC10",0.16,1.89
"20260301003100","SCDC10",0.23,2.72
"20260301003200","SCDC10",0.31,3.73
"20260301003300","SCDC10",0.00,0.00
"20260301003400","SCDC10",0.00,0.00
"20260301003500","SCDC10",0.00,0.00
"20260301003600","SCDC10",0.00,0.00
"20260301003700","SCDC10",0.41,4.90
"20260301003800","SCDC10",0.00,0.00
"20260301003900","SCDC10",0.00,0.00
"20260301004000","SCDC10",0.00,0.00
"20260301004100","SCDC10",0.06,0.68
"20260301004200","SCDC10",0.00,0.00
"20260301004300","SCDC10",0.00,0.00
"20260301004400","SCDC10",0.22,2.61
"20260301004500","SCDC10",0.60,7.24
"20260301004600","SCDC10",0.40,4.82
"20260301004700","SCDC10",0.00,0.00
"20260301004800","SCDC10",0.26,3.14
"20260301004900","SCDC10",0.37,4.48
"20260301005000","SCDC10",0.00,0.00
"20260301005100","SCDC10",0.00,0.00
"20260301005200","SCDC10",0.05,0.59
"20260301005300","SCDC10",0.00,0.00
"20260301005400","SCDC10",0.29,3.45
"20260301005500","SCDC10",0.11,1.32
"20260301005600","SCDC10",0.00,0.00
"20260301005700","SCDC10",0.39,4.69
"20260301005800","SCDC10",0.38,4.55
"20260301005900","SCDC10",0.00,0.00
"20260301010000","SCDC10",0.00,0.00
"20260301010100","SCDC10",0.11,1.32
"20260301010200","SCDC10",0.24,2.93
"20260301010300","SCDC10",0.00,0.00
"20260301010400","SCDC10",0.00,0.00
"20260301010500","SCDC10",0.00,0.00
"20260301010600","SCDC10",0.56,6.75
"20260301010700","SCDC10",0.00,0.00
"20260301010800","SCDC10",0.00,0.00
"20260301010900","SCDC10",0.00,0.00
