"datahora","objeto","valor"
"20260301050000","STAX3",37.78
"20260301050100","STAX3",41.39
"20260301050200","STAX3",43.16
"20260301050300","STAX3",41.63
"20260301050400","STAX3",38.65
"20260301050500","STAX3",42.70
"20260301050600","STAX3",38.61
"20260301050700","STAX3",38.57
"20260301050800","STAX3",39.79
"20260301050900","STAX3",40.94
"20260301051000","STAX3",39.47
"20260301051100","STAX3",41.03
"20260301051200","STAX3",37.97
"20260301051300","STAX3",40.24
"20260301051400","STAX3",41.40
"20260301051500","STAX3",38.92
"20260301051600","STAX3",44.56
"20260301051700","STAX3",40.67
"20260301051800","STAX3",40.44
"20260301051900","STAX3",40.69
"20260301052000","STAX3",40.08
"20260301052100","STAX3",39.13
"20260301052200","STAX3",42.04
"20260301052300","STAX3",39.61
"20260301052400","STAX3",37.62
"20260301052500","STAX3",38.77
"20260301052600","STAX3",40.61
"20260301052700","STAX3",38.52
"20260301052800","STAX3",39.56
"20260301052900","STAX3",41.41
"20260301053000","STAX3",40.43
"20260301053100","STAX3",40.06
"20260301053200","STAX3",39.35
"20260301053300","STAX3",37.80
"20260301053400","STAX3",38.97
"20260301053500","STAX3",39.92
"20260301053600","STAX3",41.00
"20260301053700","STAX3",40.24
"20260301053800","STAX3",38.95
"20260301053900","STAX3",39.04
"20260301054000","STAX3",41.51
"20260301054100","STAX3",38.40
"20260301054200","STAX3",39.61
"20260301054300","STAX3",38.15
"20260301054400","STAX3",38.40
"20260301054500","STAX3",40.12
"20260301054600","STAX3",38.63
"20260301054700","STAX3",37.94
"20260301054800","STAX3",40.64
"20260301054900","STAX3",37.65
"20260301055000","STAX3",38.86
"20260301055100","STAX3",40.19
"20260301055200","STAX3",38.32
"20260301055300","STAX3",38.09
"20260301055400","STAX3",36.68
"20260301055500","STAX3",39.25
"20260301055600","STAX3",38.40
"20260301055700","STAX3",39.18
"20260301055800","STAX3",37.48
"20260301055900","STAX3",39.41
"20260301060000","STAX3",38.48
"20260301060100","STAX3",37.26
"20260301060200","STAX3",41.86
"20260301060300","STAX3",37.23
"20260301060400","STAX3",38.48
"20260301060500","STAX3",38.27
"20260301060600","STAX3",37.63
"20260301060700","STAX3",41.10
"20260301060800","STAX3",37.05
"20260301060900","STAX3",39.01
"20260301061000","STAX3",40.27
"20260301061100","STAX3",38.75
"20260301061200","STAX3",38.58
"20260301061300","STAX3",38.30
"20260301061400","STAX3",36.98
"20260301061500","STAX3",39.58
"20260301061600","STAX3",35.93
"20260301061700","STAX3",37.57
"20260301061800","STAX3",37.37
"20260301061900","STAX3",38.49
"20260301062000","STAX3",37.55
"20260301062100","STAX3",37.50
"20260301062200","STAX3",36.78
"20260301062300","STAX3",37.80
"20260301062400","STAX3",40.40
"20260301062500","STAX3",36.72
"20260301062600","STAX3",34.54
"20260301062700","STAX3",36.58
"20260301062800","STAX3",37.77
"20260301062900","STAX3",37.91
"20260301063000","STAX3",36.90
"20260301063100","STAX3",40.89
"20260301063200","STAX3",35.52
"20260301063300","STAX3",35.93
"20260301063400","STAX3",37.73
"20260301063500","STAX3",36.23
"20260301063600","STAX3",34.51
"20260301063700","STAX3",35.29
"20260301063800","STAX3",37.05
"20260301063900","STAX3",36.42
"20260301064000","STAX3",33.97
"20260301064100","STAX3",36.70
"20260301064200","STAX3",37.41
"20260301064300","STAX3",34.87
"20260301064400","STAX3",35.68
"20260301064500","STAX3",36.30
"20260301064600","STAX3",35.12
"20260301064700","STAX3",36.86
"20260301064800","STAX3",37.25
"20260301064900","STAX3",34.52
"20260301065000","STAX3",34.88
"20260301065100","STAX3",34.07
"20260301065200","STAX3",33.87
"20260301065300","STAX3",35.08
"20260301065400","STAX3",36.29
"20260301065500","STAX3",33.53
"20260301065600","STAX3",35.70
"20260301065700","STAX3",36.14
"20260301065800","STAX3",35.61
"20260301065900","STAX3",35.10
"20260301070000","STAX3",33.71
"20260301070100","STAX3",35.35
"20260301070200","STAX3",34.31
"20260301070300","STAX3",34.34
"20260301070400","STAX3",31.60
"20260301070500","STAX3",30.95
"20260301070600","STAX3",34.45
"20260301070700","STAX3",34.42
"20260301070800","STAX3",32.09
"20260301070900","STAX3",35.11
"20260301071000","STAX3",34.18
"20260301071100","STAX3",33.62
"20260301071200","STAX3",34.02
"20260301071300","STAX3",32.43
"20260301071400","STAX3",35.42
"20260301071500","STAX3",34.32
"20260301071600","STAX3",35.46
"20260301071700","STAX3",31.22
"20260301071800","STAX3",33.20
"20260301071900","STAX3",34.36
"20260301072000","STAX3",34.19
"20260301072100","STAX3",32.98
"20260301072200","STAX3",32.07
"20260301072300","STAX3",31.34
"20260301072400","STAX3",30.30
"20260301072500","STAX3",32.00
"20260301072600","STAX3",30.92
"20260301072700","STAX3",33.01
"20260301072800","STAX3",31.50
"20260301072900","STAX3",33.27
"20260301073000","STAX3",31.40
"20260301073100","STAX3",32.40
"20260301073200","STAX3",31.33
"20260301073300","STAX3",32.71
"20260301073400","STAX3",29.59
"20260301073500","STAX3",35.00
"20260301073600","STAX3",33.29
"20260301073700","STAX3",33.65
"20260301073800","STAX3",31.51
"20260301073900","STAX3",30.17
"20260301074000","STAX3",32.08
"20260301074100","STAX3",30.91
"20260301074200","STAX3",30.67
"20260301074300","STAX3",32.07
"20260301074400","STAX3",31.00
"20260301074500","STAX3",32.00
"20260301074600","STAX3",31.37
"20260301074700","STAX3",31.45
"20260301074800","STAX3",30.54
"20260301074900","STAX3",32.08
"20260301075000","STAX3",32.24
"20260301075100","STAX3",28.93
"20260301075200","STAX3",30.34
"20260301075300","STAX3",31.83
"20260301075400","STAX3",32.73
"20260301075500","STAX3",32.29
"20260301075600","STAX3",31.95
"20260301075700","STAX3",29.74
"20260301075800","STAX3",30.38
"20260301075900","STAX3",31.24
"20260301080000","STAX3",30.30
"20260301080100","STAX3",32.04
"20260301080200","STAX3",29.22
"20260301080300","STAX3",30.21
"20260301080400","STAX3",30.22
"20260301080500","STAX3",32.34
"20260301080600","STAX3",29.46
"20260301080700","STAX3",32.50
"20260301080800","STAX3",29.10
"20260301080900","STAX3",28.73
"20260301081000","STAX3",25.82
"20260301081100","STAX3",28.09
"20260301081200","STAX3",30.30
"20260301081300","STAX3",28.19
"20260301081400","STAX3",30.94
"20260301081500","STAX3",27.28
"20260301081600","STAX3",28.37
"20260301081700","STAX3",27.32
"20260301081800","STAX3",27.30
"20260301081900","STAX3",30.37
"20260301082000","STAX3",27.54
"20260301082100","STAX3",28.51
"20260301082200","STAX3",29.22
"20260301082300","STAX3",28.96
"20260301082400","STAX3",26.52
"20260301082500","STAX3",26.29
"20260301082600","STAX3",28.43
"20260301082700","STAX3",28.13
"20260301082800","STAX3",26.96
"20260301082900","STAX3",28.26
"20260301083000","STAX3",25.86
"20260301083100","STAX3",28.47
"20260301083200","STAX3",25.56
"20260301083300","STAX3",26.17
"20260301083400","STAX3",27.07
"20260301083500","STAX3",25.73
"20260301083600","STAX3",26.99
"20260301083700","STAX3",27.75
"20260301083800","STAX3",26.08
