"datahora","objeto","valor"
"20260301050000","STAX2",41.62
"20260301050100","STAX2",41.32
"20260301050200","STAX2",39.38
"20260301050300","STAX2",41.58
"20260301050400","STAX2",39.61
"20260301050500","STAX2",41.52
"20260301050600","STAX2",41.47
"20260301050700","STAX2",40.46
"20260301050800","STAX2",37.23
"20260301050900","STAX2",39.51
"20260301051000","STAX2",39.39
"20260301051100","STAX2",39.44
"20260301051200","STAX2",40.13
"20260301051300","STAX2",39.48
"20260301051400","STAX2",39.05
"20260301051500","STAX2",39.80
"20260301051600","STAX2",40.19
"20260301051700","STAX2",39.23
"20260301051800","STAX2",38.83
"20260301051900","STAX2",40.60
"20260301052000","STAX2",39.99
"20260301052100","STAX2",37.60
"20260301052200","STAX2",40.51
"20260301052300","STAX2",40.33
"20260301052400","STAX2",40.11
"20260301052500","STAX2",40.33
"20260301052600","STAX2",39.08
"20260301052700","STAX2",41.49
"20260301052800","STAX2",40.78
"20260301052900","STAX2",40.10
"20260301053000","STAX2",41.63
"20260301053100","STAX2",39.46
"20260301053200","STAX2",40.40
"20260301053300","STAX2",39.81
"20260301053400","STAX2",39.43
"20260301053500","STAX2",38.08
"20260301053600","STAX2",39.58
"20260301053700","STAX2",38.06
"20260301053800","STAX2",38.36
"20260301053900","STAX2",41.30
"20260301054000","STAX2",35.59
"20260301054100","STAX2",39.44
"20260301054200","STAX2",38.16
"20260301054300","STAX2",37.77
"20260301054400","STAX2",38.37
"20260301054500","STAX2",39.44
"20260301054600","STAX2",38.55
"20260301054700","STAX2",37.58
"20260301054800","STAX2",39.91
"20260301054900","STAX2",38.03
"20260301055000","STAX2",37.92
"20260301055100","STAX2",37.34
"20260301055200","STAX2",38.47
"20260301055300","STAX2",40.53
"20260301055400","STAX2",40.18
"20260301055500","STAX2",40.63
"20260301055600","STAX2",36.99
"20260301055700","STAX2",36.42
"20260301055800","STAX2",38.99
"20260301055900","STAX2",37.73
"20260301060000","STAX2",40.44
"20260301060100","STAX2",40.95
"20260301060200","STAX2",36.78
"20260301060300","STAX2",38.39
"20260301060400","STAX2",39.43
"20260301060500","STAX2",38.59
"20260301060600","STAX2",36.33
"20260301060700","STAX2",39.35
"20260301060800","STAX2",38.50
"20260301060900","STAX2",39.32
"20260301061000","STAX2",37.51
"20260301061100","STAX2",38.79
"20260301061200","STAX2",39.20
"20260301061300","STAX2",37.36
"20260301061400","STAX2",37.11
